,id,user_id,interaction_type,post_id,created_at,updated_at
0,52,566,like,1479,2024-11-03 17:27:42,2024-11-03 17:27:42
5,197,424,comment,1466,2024-11-05 07:01:32,2024-11-05 07:01:32
6,198,424,comment,1466,2024-11-05 07:02:00,2024-11-05 07:02:00
7,199,424,comment,1466,2024-11-05 07:02:24,2024-11-05 07:02:24
8,217,68,comment,811,2024-11-05 10:46:27,2024-11-05 10:46:27
9,218,68,comment,811,2024-11-05 10:51:16,2024-11-05 10:51:16
10,239,424,comment,1466,2024-11-05 11:57:48,2024-11-05 11:57:48
11,243,424,comment,1466,2024-11-05 11:58:56,2024-11-05 11:58:56
13,249,78,like,1522,2024-11-05 12:02:58,2024-11-05 12:02:58
14,270,424,comment,1466,2024-11-05 12:17:29,2024-11-05 12:17:29
15,276,566,comment,1522,2024-11-05 12:23:01,2024-11-05 12:23:01
16,277,566,comment,1522,2024-11-05 12:23:27,2024-11-05 12:23:27
17,278,424,comment,1466,2024-11-05 12:23:37,2024-11-05 12:23:37
18,279,424,comment,1466,2024-11-05 12:24:54,2024-11-05 12:24:54
19,291,426,like,1522,2024-11-05 12:35:32,2024-11-05 12:35:32
35,316,681,comment,866,2024-11-05 14:20:45,2024-11-05 14:20:45
36,317,167,view,128,2024-11-05 14:20:46,2024-11-05 14:20:46
41,322,594,view,805,2024-11-05 14:21:04,2024-11-05 14:21:04
45,326,24,comment,1008,2024-11-05 14:21:33,2024-11-05 14:21:33
46,327,1010,comment,119,2024-11-05 14:21:36,2024-11-05 14:21:36
47,328,926,comment,884,2024-11-05 14:21:39,2024-11-05 14:21:39
54,335,28,view,133,2024-11-05 14:22:00,2024-11-05 14:22:00
57,338,6,share,1517,2024-11-05 14:22:06,2024-11-05 14:22:06
58,339,633,view,805,2024-11-05 14:22:09,2024-11-05 14:22:09
64,345,651,share,753,2024-11-05 14:22:30,2024-11-05 14:22:30
71,352,477,view,1494,2024-11-05 14:22:53,2024-11-05 14:22:53
74,355,826,comment,147,2024-11-05 14:23:03,2024-11-05 14:23:03
82,363,288,view,1522,2024-11-05 14:23:30,2024-11-05 14:23:30
88,369,415,view,1479,2024-11-05 14:23:43,2024-11-05 14:23:43
91,372,1129,comment,1514,2024-11-05 14:23:50,2024-11-05 14:23:50
97,378,812,share,751,2024-11-05 14:24:06,2024-11-05 14:24:06
100,381,619,share,221,2024-11-05 14:24:22,2024-11-05 14:24:22
101,382,1051,view,197,2024-11-05 14:24:24,2024-11-05 14:24:24
102,383,423,share,923,2024-11-05 14:24:28,2024-11-05 14:24:28
104,385,159,comment,148,2024-11-05 14:24:34,2024-11-05 14:24:34
110,391,275,comment,751,2024-11-05 14:25:10,2024-11-05 14:25:10
116,397,397,view,810,2024-11-05 14:25:35,2024-11-05 14:25:35
119,400,1126,comment,1512,2024-11-05 14:25:45,2024-11-05 14:25:45
121,402,204,comment,211,2024-11-05 14:25:51,2024-11-05 14:25:51
123,404,703,comment,122,2024-11-05 14:25:56,2024-11-05 14:25:56
125,406,349,view,960,2024-11-05 14:26:01,2024-11-05 14:26:01
130,411,863,share,793,2024-11-05 14:26:14,2024-11-05 14:26:14
149,430,1096,view,769,2024-11-05 14:27:14,2024-11-05 14:27:14
153,434,362,comment,127,2024-11-05 14:27:29,2024-11-05 14:27:29
156,437,623,view,1006,2024-11-05 14:27:43,2024-11-05 14:27:43
169,450,590,comment,760,2024-11-05 14:28:39,2024-11-05 14:28:39
175,456,493,view,744,2024-11-05 14:28:56,2024-11-05 14:28:56
176,457,487,view,776,2024-11-05 14:28:58,2024-11-05 14:28:58
177,458,33,view,149,2024-11-05 14:28:59,2024-11-05 14:28:59
