id,user_id,interaction_type,post_id,created_at,updated_at
52,566,like,1479,11/3/2024 17:27,11/3/2024 17:27
92,678,view,1383,11/4/2024 9:06,11/4/2024 9:06
143,142,comment,1518,11/4/2024 14:54,11/4/2024 14:54
178,752,like,984,11/4/2024 15:38,11/4/2024 15:38
179,752,like,958,11/4/2024 15:38,11/4/2024 15:38
197,424,comment,1466,11/5/2024 7:01,11/5/2024 7:01
198,424,comment,1466,11/5/2024 7:02,11/5/2024 7:02
199,424,comment,1466,11/5/2024 7:02,11/5/2024 7:02
217,68,comment,811,11/5/2024 10:46,11/5/2024 10:46
218,68,comment,811,11/5/2024 10:51,11/5/2024 10:51
239,424,comment,1466,11/5/2024 11:57,11/5/2024 11:57
243,424,comment,1466,11/5/2024 11:58,11/5/2024 11:58
245,78,like,1521,11/5/2024 12:00,11/5/2024 12:00
249,78,like,1522,11/5/2024 12:02,11/5/2024 12:02
270,424,comment,1466,11/5/2024 12:17,11/5/2024 12:17
276,566,comment,1522,11/5/2024 12:23,11/5/2024 12:23
277,566,comment,1522,11/5/2024 12:23,11/5/2024 12:23
278,424,comment,1466,11/5/2024 12:23,11/5/2024 12:23
279,424,comment,1466,11/5/2024 12:24,11/5/2024 12:24
291,426,like,1522,11/5/2024 12:35,11/5/2024 12:35
301,472,comment,865,11/5/2024 14:20,11/5/2024 14:20
302,155,share,1360,11/5/2024 14:20,11/5/2024 14:20
303,1121,comment,588,11/5/2024 14:20,11/5/2024 14:20
304,366,share,565,11/5/2024 14:20,11/5/2024 14:20
305,293,view,1379,11/5/2024 14:20,11/5/2024 14:20
306,424,comment,634,11/5/2024 14:20,11/5/2024 14:20
307,128,view,1457,11/5/2024 14:20,11/5/2024 14:20
308,579,view,604,11/5/2024 14:20,11/5/2024 14:20
309,213,comment,589,11/5/2024 14:20,11/5/2024 14:20
310,1111,share,984,11/5/2024 14:20,11/5/2024 14:20
311,948,share,1327,11/5/2024 14:20,11/5/2024 14:20
312,245,share,1377,11/5/2024 14:20,11/5/2024 14:20
313,1017,share,1164,11/5/2024 14:20,11/5/2024 14:20
314,125,view,1184,11/5/2024 14:20,11/5/2024 14:20
315,1096,view,922,11/5/2024 14:20,11/5/2024 14:20
316,681,comment,866,11/5/2024 14:20,11/5/2024 14:20
317,167,view,128,11/5/2024 14:20,11/5/2024 14:20
318,71,share,1306,11/5/2024 14:20,11/5/2024 14:20
319,464,share,839,11/5/2024 14:20,11/5/2024 14:20
320,200,share,593,11/5/2024 14:20,11/5/2024 14:20
321,406,comment,997,11/5/2024 14:21,11/5/2024 14:21
322,594,view,805,11/5/2024 14:21,11/5/2024 14:21
323,19,view,535,11/5/2024 14:21,11/5/2024 14:21
324,766,share,566,11/5/2024 14:21,11/5/2024 14:21
325,759,view,1283,11/5/2024 14:21,11/5/2024 14:21
326,24,comment,1008,11/5/2024 14:21,11/5/2024 14:21
327,1010,comment,119,11/5/2024 14:21,11/5/2024 14:21
328,926,comment,884,11/5/2024 14:21,11/5/2024 14:21
329,845,share,194,11/5/2024 14:21,11/5/2024 14:21
330,613,share,843,11/5/2024 14:21,11/5/2024 14:21
331,951,share,1073,11/5/2024 14:21,11/5/2024 14:21
332,588,share,1209,11/5/2024 14:21,11/5/2024 14:21
333,1048,share,650,11/5/2024 14:21,11/5/2024 14:21
334,907,share,1210,11/5/2024 14:21,11/5/2024 14:21
335,28,view,133,11/5/2024 14:22,11/5/2024 14:22
336,18,view,715,11/5/2024 14:22,11/5/2024 14:22
337,438,view,703,11/5/2024 14:22,11/5/2024 14:22
338,6,share,1517,11/5/2024 14:22,11/5/2024 14:22
339,633,view,805,11/5/2024 14:22,11/5/2024 14:22
340,276,view,697,11/5/2024 14:22,11/5/2024 14:22
341,686,share,1162,11/5/2024 14:22,11/5/2024 14:22
342,116,share,1270,11/5/2024 14:22,11/5/2024 14:22
343,623,comment,1324,11/5/2024 14:22,11/5/2024 14:22
344,1020,comment,602,11/5/2024 14:22,11/5/2024 14:22
345,651,share,753,11/5/2024 14:22,11/5/2024 14:22
346,1099,comment,690,11/5/2024 14:22,11/5/2024 14:22
347,1069,comment,1063,11/5/2024 14:22,11/5/2024 14:22
348,616,share,815,11/5/2024 14:22,11/5/2024 14:22
349,1114,view,526,11/5/2024 14:22,11/5/2024 14:22
350,147,view,679,11/5/2024 14:22,11/5/2024 14:22
351,22,comment,572,11/5/2024 14:22,11/5/2024 14:22
352,477,view,1494,11/5/2024 14:22,11/5/2024 14:22
353,689,comment,920,11/5/2024 14:22,11/5/2024 14:22
354,339,view,1131,11/5/2024 14:23,11/5/2024 14:23
355,826,comment,147,11/5/2024 14:23,11/5/2024 14:23
356,15,comment,1179,11/5/2024 14:23,11/5/2024 14:23
357,678,share,1129,11/5/2024 14:23,11/5/2024 14:23
358,72,share,1248,11/5/2024 14:23,11/5/2024 14:23
359,352,comment,1168,11/5/2024 14:23,11/5/2024 14:23
360,35,share,1227,11/5/2024 14:23,11/5/2024 14:23
361,278,view,1510,11/5/2024 14:23,11/5/2024 14:23
362,332,view,1152,11/5/2024 14:23,11/5/2024 14:23
363,288,view,1522,11/5/2024 14:23,11/5/2024 14:23
364,437,share,666,11/5/2024 14:23,11/5/2024 14:23
365,955,comment,573,11/5/2024 14:23,11/5/2024 14:23
366,680,comment,720,11/5/2024 14:23,11/5/2024 14:23
367,644,view,676,11/5/2024 14:23,11/5/2024 14:23
368,951,share,997,11/5/2024 14:23,11/5/2024 14:23
369,415,view,1479,11/5/2024 14:23,11/5/2024 14:23
370,147,share,900,11/5/2024 14:23,11/5/2024 14:23
371,125,share,1267,11/5/2024 14:23,11/5/2024 14:23
372,1129,comment,1514,11/5/2024 14:23,11/5/2024 14:23
373,193,view,514,11/5/2024 14:23,11/5/2024 14:23
374,1047,comment,742,11/5/2024 14:23,11/5/2024 14:23
375,153,view,1128,11/5/2024 14:23,11/5/2024 14:23
376,946,view,1373,11/5/2024 14:24,11/5/2024 14:24
377,7,share,859,11/5/2024 14:24,11/5/2024 14:24
378,812,share,751,11/5/2024 14:24,11/5/2024 14:24
379,641,view,684,11/5/2024 14:24,11/5/2024 14:24
380,3,share,569,11/5/2024 14:24,11/5/2024 14:24
381,619,share,221,11/5/2024 14:24,11/5/2024 14:24
382,1051,view,197,11/5/2024 14:24,11/5/2024 14:24
383,423,share,923,11/5/2024 14:24,11/5/2024 14:24
384,836,share,690,11/5/2024 14:24,11/5/2024 14:24
385,159,comment,148,11/5/2024 14:24,11/5/2024 14:24
386,1143,comment,1236,11/5/2024 14:24,11/5/2024 14:24
387,53,comment,1339,11/5/2024 14:24,11/5/2024 14:24
388,1135,share,1275,11/5/2024 14:24,11/5/2024 14:24
389,845,comment,1112,11/5/2024 14:24,11/5/2024 14:24
390,704,view,683,11/5/2024 14:24,11/5/2024 14:24
391,275,comment,751,11/5/2024 14:25,11/5/2024 14:25
392,945,comment,612,11/5/2024 14:25,11/5/2024 14:25
393,1107,comment,1213,11/5/2024 14:25,11/5/2024 14:25
