"id","user_id","activity_type","content_id","created_at","updated_at"
"52","566","like","1479","2024-11-03 17:27:42","2024-11-03 17:27:42"
"92","678","view","1383","2024-11-04 09:06:57","2024-11-04 09:06:57"
"143","142","comment","1518","2024-11-04 14:54:49","2024-11-04 14:54:49"
"178","752","like","984","2024-11-04 15:38:02","2024-11-04 15:38:02"
"179","752","like","958","2024-11-04 15:38:34","2024-11-04 15:38:34"
"197","424","comment","1466","2024-11-05 07:01:32","2024-11-05 07:01:32"
"198","424","comment","1466","2024-11-05 07:02:00","2024-11-05 07:02:00"
"199","424","comment","1466","2024-11-05 07:02:24","2024-11-05 07:02:24"
"217","68","comment","811","2024-11-05 10:46:27","2024-11-05 10:46:27"
"218","68","comment","811","2024-11-05 10:51:16","2024-11-05 10:51:16"
"239","424","comment","1466","2024-11-05 11:57:48","2024-11-05 11:57:48"
"243","424","comment","1466","2024-11-05 11:58:56","2024-11-05 11:58:56"
"245","78","like","1521","2024-11-05 12:00:11","2024-11-05 12:00:11"
"249","78","like","1522","2024-11-05 12:02:58","2024-11-05 12:02:58"
"270","424","comment","1466","2024-11-05 12:17:29","2024-11-05 12:17:29"
"276","566","comment","1522","2024-11-05 12:23:01","2024-11-05 12:23:01"
"277","566","comment","1522","2024-11-05 12:23:27","2024-11-05 12:23:27"
"278","424","comment","1466","2024-11-05 12:23:37","2024-11-05 12:23:37"
"279","424","comment","1466","2024-11-05 12:24:54","2024-11-05 12:24:54"
"291","426","like","1522","2024-11-05 12:35:32","2024-11-05 12:35:32"
"301","472","comment","865","2024-11-05 14:20:07","2024-11-05 14:20:07"
"302","155","share","1360","2024-11-05 14:20:09","2024-11-05 14:20:09"
"303","1121","comment","588","2024-11-05 14:20:11","2024-11-05 14:20:11"
"304","366","share","565","2024-11-05 14:20:14","2024-11-05 14:20:14"
"305","293","view","1379","2024-11-05 14:20:18","2024-11-05 14:20:18"
"306","424","comment","634","2024-11-05 14:20:22","2024-11-05 14:20:22"
"307","128","view","1457","2024-11-05 14:20:25","2024-11-05 14:20:25"
"308","579","view","604","2024-11-05 14:20:27","2024-11-05 14:20:27"
"309","213","comment","589","2024-11-05 14:20:30","2024-11-05 14:20:30"
"310","1111","share","984","2024-11-05 14:20:32","2024-11-05 14:20:32"
"311","948","share","1327","2024-11-05 14:20:34","2024-11-05 14:20:34"
"312","245","share","1377","2024-11-05 14:20:35","2024-11-05 14:20:35"
"313","1017","share","1164","2024-11-05 14:20:37","2024-11-05 14:20:37"
"314","125","view","1184","2024-11-05 14:20:39","2024-11-05 14:20:39"
"315","1096","view","922","2024-11-05 14:20:43","2024-11-05 14:20:43"
"316","681","comment","866","2024-11-05 14:20:45","2024-11-05 14:20:45"
"317","167","view","128","2024-11-05 14:20:46","2024-11-05 14:20:46"
"318","71","share","1306","2024-11-05 14:20:50","2024-11-05 14:20:50"
"319","464","share","839","2024-11-05 14:20:54","2024-11-05 14:20:54"
"320","200","share","593","2024-11-05 14:20:56","2024-11-05 14:20:56"
"321","406","comment","997","2024-11-05 14:21:00","2024-11-05 14:21:00"
"322","594","view","805","2024-11-05 14:21:04","2024-11-05 14:21:04"
"323","19","view","535","2024-11-05 14:21:09","2024-11-05 14:21:09"
"324","766","share","566","2024-11-05 14:21:13","2024-11-05 14:21:13"
"325","759","view","1283","2024-11-05 14:21:26","2024-11-05 14:21:26"
"326","24","comment","1008","2024-11-05 14:21:33","2024-11-05 14:21:33"
"327","1010","comment","119","2024-11-05 14:21:36","2024-11-05 14:21:36"
"328","926","comment","884","2024-11-05 14:21:39","2024-11-05 14:21:39"
"329","845","share","194","2024-11-05 14:21:41","2024-11-05 14:21:41"
"330","613","share","843","2024-11-05 14:21:47","2024-11-05 14:21:47"
"331","951","share","1073","2024-11-05 14:21:48","2024-11-05 14:21:48"
"332","588","share","1209","2024-11-05 14:21:52","2024-11-05 14:21:52"
"333","1048","share","650","2024-11-05 14:21:54","2024-11-05 14:21:54"
"334","907","share","1210","2024-11-05 14:21:58","2024-11-05 14:21:58"
"335","28","view","133","2024-11-05 14:22:00","2024-11-05 14:22:00"
"336","18","view","715","2024-11-05 14:22:02","2024-11-05 14:22:02"
"337","438","view","703","2024-11-05 14:22:04","2024-11-05 14:22:04"
"338","6","share","1517","2024-11-05 14:22:06","2024-11-05 14:22:06"
"339","633","view","805","2024-11-05 14:22:09","2024-11-05 14:22:09"
"340","276","view","697","2024-11-05 14:22:13","2024-11-05 14:22:13"
"341","686","share","1162","2024-11-05 14:22:18","2024-11-05 14:22:18"
"342","116","share","1270","2024-11-05 14:22:22","2024-11-05 14:22:22"
"343","623","comment","1324","2024-11-05 14:22:24","2024-11-05 14:22:24"
"344","1020","comment","602","2024-11-05 14:22:28","2024-11-05 14:22:28"
"345","651","share","753","2024-11-05 14:22:30","2024-11-05 14:22:30"
"346","1099","comment","690","2024-11-05 14:22:36","2024-11-05 14:22:36"
"347","1069","comment","1063","2024-11-05 14:22:42","2024-11-05 14:22:42"
"348","616","share","815","2024-11-05 14:22:44","2024-11-05 14:22:44"
"349","1114","view","526","2024-11-05 14:22:48","2024-11-05 14:22:48"
"350","147","view","679","2024-11-05 14:22:50","2024-11-05 14:22:50"
"351","22","comment","572","2024-11-05 14:22:52","2024-11-05 14:22:52"
"352","477","view","1494","2024-11-05 14:22:53","2024-11-05 14:22:53"
"353","689","comment","920","2024-11-05 14:22:57","2024-11-05 14:22:57"
"354","339","view","1131","2024-11-05 14:23:01","2024-11-05 14:23:01"
"355","826","comment","147","2024-11-05 14:23:03","2024-11-05 14:23:03"
"356","15","comment","1179","2024-11-05 14:23:05","2024-11-05 14:23:05"
"357","678","share","1129","2024-11-05 14:23:08","2024-11-05 14:23:08"
"358","72","share","1248","2024-11-05 14:23:12","2024-11-05 14:23:12"
"359","352","comment","1168","2024-11-05 14:23:16","2024-11-05 14:23:16"
"360","35","share","1227","2024-11-05 14:23:18","2024-11-05 14:23:18"
"361","278","view","1510","2024-11-05 14:23:22","2024-11-05 14:23:22"
"362","332","view","1152","2024-11-05 14:23:26","2024-11-05 14:23:26"
"363","288","view","1522","2024-11-05 14:23:30","2024-11-05 14:23:30"
"364","437","share","666","2024-11-05 14:23:32","2024-11-05 14:23:32"
"365","955","comment","573","2024-11-05 14:23:35","2024-11-05 14:23:35"
"366","680","comment","720","2024-11-05 14:23:37","2024-11-05 14:23:37"
"367","644","view","676","2024-11-05 14:23:39","2024-11-05 14:23:39"
"368","951","share","997","2024-11-05 14:23:41","2024-11-05 14:23:41"
"369","415","view","1479","2024-11-05 14:23:43","2024-11-05 14:23:43"
"370","147","share","900","2024-11-05 14:23:44","2024-11-05 14:23:44"
"371","125","share","1267","2024-11-05 14:23:46","2024-11-05 14:23:46"
"372","1129","comment","1514","2024-11-05 14:23:50","2024-11-05 14:23:50"
"373","193","view","514","2024-11-05 14:23:53","2024-11-05 14:23:53"
"374","1047","comment","742","2024-11-05 14:23:54","2024-11-05 14:23:54"
"375","153","view","1128","2024-11-05 14:23:58","2024-11-05 14:23:58"
"376","946","view","1373","2024-11-05 14:24:00","2024-11-05 14:24:00"
"377","7","share","859","2024-11-05 14:24:04","2024-11-05 14:24:04"
"378","812","share","751","2024-11-05 14:24:06","2024-11-05 14:24:06"
"379","641","view","684","2024-11-05 14:24:07","2024-11-05 14:24:07"
"380","3","share","569","2024-11-05 14:24:13","2024-11-05 14:24:13"
"381","619","share","221","2024-11-05 14:24:22","2024-11-05 14:24:22"
"382","1051","view","197","2024-11-05 14:24:24","2024-11-05 14:24:24"
"383","423","share","923","2024-11-05 14:24:28","2024-11-05 14:24:28"
"384","836","share","690","2024-11-05 14:24:32","2024-11-05 14:24:32"
"385","159","comment","148","2024-11-05 14:24:34","2024-11-05 14:24:34"
"386","1143","comment","1236","2024-11-05 14:24:37","2024-11-05 14:24:37"
"387","53","comment","1339","2024-11-05 14:24:39","2024-11-05 14:24:39"
"388","1135","share","1275","2024-11-05 14:24:44","2024-11-05 14:24:44"
"389","845","comment","1112","2024-11-05 14:24:46","2024-11-05 14:24:46"
"390","704","view","683","2024-11-05 14:24:51","2024-11-05 14:24:51"
"391","275","comment","751","2024-11-05 14:25:10","2024-11-05 14:25:10"
"392","945","comment","612","2024-11-05 14:25:17","2024-11-05 14:25:17"
"393","1107","comment","1213","2024-11-05 14:25:25","2024-11-05 14:25:25"
"394","1147","view","1219","2024-11-05 14:25:28","2024-11-05 14:25:28"
"395","557","share","1068","2024-11-05 14:25:30","2024-11-05 14:25:30"
"396","344","view","1222","2024-11-05 14:25:33","2024-11-05 14:25:33"
"397","397","view","810","2024-11-05 14:25:35","2024-11-05 14:25:35"
"398","1017","comment","511","2024-11-05 14:25:37","2024-11-05 14:25:37"
"399","1128","view","1234","2024-11-05 14:25:41","2024-11-05 14:25:41"
"400","1126","comment","1512","2024-11-05 14:25:45","2024-11-05 14:25:45"
"401","296","comment","556","2024-11-05 14:25:49","2024-11-05 14:25:49"
"402","204","comment","211","2024-11-05 14:25:51","2024-11-05 14:25:51"
"403","68","comment","896","2024-11-05 14:25:54","2024-11-05 14:25:54"
"404","703","comment","122","2024-11-05 14:25:56","2024-11-05 14:25:56"
"405","782","share","835","2024-11-05 14:25:58","2024-11-05 14:25:58"
"406","349","view","960","2024-11-05 14:26:01","2024-11-05 14:26:01"
"407","1006","view","1295","2024-11-05 14:26:03","2024-11-05 14:26:03"
"408","436","share","554","2024-11-05 14:26:05","2024-11-05 14:26:05"
"409","565","share","833","2024-11-05 14:26:08","2024-11-05 14:26:08"
"410","1110","view","505","2024-11-05 14:26:12","2024-11-05 14:26:12"
"411","863","share","793","2024-11-05 14:26:14","2024-11-05 14:26:14"
"412","779","view","540","2024-11-05 14:26:15","2024-11-05 14:26:15"
"413","672","view","1255","2024-11-05 14:26:17","2024-11-05 14:26:17"
"414","209","comment","926","2024-11-05 14:26:19","2024-11-05 14:26:19"
"415","49","view","706","2024-11-05 14:26:23","2024-11-05 14:26:23"
"416","299","share","1380","2024-11-05 14:26:27","2024-11-05 14:26:27"
"417","872","comment","798","2024-11-05 14:26:29","2024-11-05 14:26:29"
"418","1066","comment","161","2024-11-05 14:26:31","2024-11-05 14:26:31"
"419","192","view","709","2024-11-05 14:26:32","2024-11-05 14:26:32"
"420","958","view","647","2024-11-05 14:26:34","2024-11-05 14:26:34"
"421","997","comment","627","2024-11-05 14:26:38","2024-11-05 14:26:38"
"422","37","share","644","2024-11-05 14:26:45","2024-11-05 14:26:45"
"423","643","share","505","2024-11-05 14:26:48","2024-11-05 14:26:48"
"424","551","share","1118","2024-11-05 14:26:53","2024-11-05 14:26:53"
"425","116","comment","1071","2024-11-05 14:27:00","2024-11-05 14:27:00"
"426","209","view","574","2024-11-05 14:27:01","2024-11-05 14:27:01"
"427","946","comment","613","2024-11-05 14:27:03","2024-11-05 14:27:03"
"428","1067","comment","896","2024-11-05 14:27:07","2024-11-05 14:27:07"
"429","552","comment","1280","2024-11-05 14:27:10","2024-11-05 14:27:10"
"430","1096","view","769","2024-11-05 14:27:14","2024-11-05 14:27:14"
"431","554","share","1289","2024-11-05 14:27:16","2024-11-05 14:27:16"
"432","449","comment","570","2024-11-05 14:27:19","2024-11-05 14:27:19"
"433","566","share","524","2024-11-05 14:27:25","2024-11-05 14:27:25"
"434","362","comment","127","2024-11-05 14:27:29","2024-11-05 14:27:29"
"435","904","view","1094","2024-11-05 14:27:34","2024-11-05 14:27:34"
"436","748","view","1291","2024-11-05 14:27:38","2024-11-05 14:27:38"
"437","623","view","1006","2024-11-05 14:27:43","2024-11-05 14:27:43"
"438","772","share","1209","2024-11-05 14:27:52","2024-11-05 14:27:52"
"439","192","comment","910","2024-11-05 14:27:58","2024-11-05 14:27:58"
"440","704","comment","892","2024-11-05 14:28:06","2024-11-05 14:28:06"
"441","1103","view","516","2024-11-05 14:28:16","2024-11-05 14:28:16"
"442","17","share","1285","2024-11-05 14:28:20","2024-11-05 14:28:20"
"443","108","comment","1084","2024-11-05 14:28:24","2024-11-05 14:28:24"
"444","1047","comment","713","2024-11-05 14:28:26","2024-11-05 14:28:26"
"445","32","share","1376","2024-11-05 14:28:28","2024-11-05 14:28:28"
"446","187","view","1500","2024-11-05 14:28:31","2024-11-05 14:28:31"
"447","203","view","1127","2024-11-05 14:28:32","2024-11-05 14:28:32"
"448","911","share","1321","2024-11-05 14:28:35","2024-11-05 14:28:35"
"449","1111","share","180","2024-11-05 14:28:37","2024-11-05 14:28:37"
"450","590","comment","760","2024-11-05 14:28:39","2024-11-05 14:28:39"
"451","656","view","596","2024-11-05 14:28:40","2024-11-05 14:28:40"
"452","563","comment","1475","2024-11-05 14:28:44","2024-11-05 14:28:44"
"453","56","view","713","2024-11-05 14:28:48","2024-11-05 14:28:48"
"454","434","view","961","2024-11-05 14:28:50","2024-11-05 14:28:50"
"455","699","share","1229","2024-11-05 14:28:54","2024-11-05 14:28:54"
"456","493","view","744","2024-11-05 14:28:56","2024-11-05 14:28:56"
"457","487","view","776","2024-11-05 14:28:58","2024-11-05 14:28:58"
"458","33","view","149","2024-11-05 14:28:59","2024-11-05 14:28:59"
"459","802","view","820","2024-11-05 14:29:01","2024-11-05 14:29:01"
"460","789","share","1134","2024-11-05 14:29:03","2024-11-05 14:29:03"
"461","76","share","1109","2024-11-05 14:29:07","2024-11-05 14:29:07"
"462","106","share","1204","2024-11-05 14:29:09","2024-11-05 14:29:09"
"463","651","view","1143","2024-11-05 14:29:11","2024-11-05 14:29:11"
"464","798","comment","1376","2024-11-05 14:29:12","2024-11-05 14:29:12"
"465","460","comment","912","2024-11-05 14:29:16","2024-11-05 14:29:16"
"466","896","share","1321","2024-11-05 14:29:18","2024-11-05 14:29:18"
"467","295","share","1170","2024-11-05 14:29:22","2024-11-05 14:29:22"
"468","369","comment","1312","2024-11-05 14:29:24","2024-11-05 14:29:24"
"469","474","share","1229","2024-11-05 14:29:25","2024-11-05 14:29:25"
"470","497","share","1110","2024-11-05 14:29:27","2024-11-05 14:29:27"
"471","205","comment","1305","2024-11-05 14:29:30","2024-11-05 14:29:30"
"472","529","view","1144","2024-11-05 14:29:32","2024-11-05 14:29:32"
"473","479","share","1193","2024-11-05 14:29:34","2024-11-05 14:29:34"
"474","372","comment","1128","2024-11-05 14:29:36","2024-11-05 14:29:36"
"475","790","comment","1140","2024-11-05 14:29:38","2024-11-05 14:29:38"
"476","565","comment","1331","2024-11-05 14:29:42","2024-11-05 14:29:42"
"477","274","view","554","2024-11-05 14:29:45","2024-11-05 14:29:45"
"478","805","view","775","2024-11-05 14:29:49","2024-11-05 14:29:49"
"479","124","view","1248","2024-11-05 14:29:53","2024-11-05 14:29:53"
"480","953","share","878","2024-11-05 14:29:54","2024-11-05 14:29:54"
"481","444","view","958","2024-11-05 14:29:58","2024-11-05 14:29:58"
"482","571","view","1212","2024-11-05 14:30:03","2024-11-05 14:30:03"
"483","868","comment","170","2024-11-05 14:30:05","2024-11-05 14:30:05"
"484","1017","comment","840","2024-11-05 14:30:06","2024-11-05 14:30:06"
"485","203","comment","1492","2024-11-05 14:30:08","2024-11-05 14:30:08"
"486","627","view","1221","2024-11-05 14:30:10","2024-11-05 14:30:10"
"487","629","view","570","2024-11-05 14:30:14","2024-11-05 14:30:14"
"488","70","view","679","2024-11-05 14:30:18","2024-11-05 14:30:18"
