id,user_id,activity_type,content_id,created_at,updated_at
6,83,like,62,"2024-11-11 18:03:25","2024-11-11 18:03:25"
7,8,like,62,"2024-11-11 18:10:11","2024-11-11 18:10:11"
20,1,view,1,"2024-11-11 18:12:38","2024-11-11 18:12:38"
52,16,comment,64,"2024-11-11 19:10:26","2024-11-11 19:10:26"
53,13,comment,45,"2024-11-11 19:27:28","2024-11-11 19:27:28"
54,13,comment,29,"2024-11-11 19:29:25","2024-11-11 19:29:25"
55,12,like,10,"2024-11-11 19:41:47","2024-11-11 19:41:47"
56,12,like,10,"2024-11-11 19:41:48","2024-11-11 19:41:48"
57,12,like,10,"2024-11-11 19:41:52","2024-11-11 19:41:52"
61,13,like,15,"2024-11-11 20:21:36","2024-11-11 20:21:36"
62,13,like,15,"2024-11-11 20:21:39","2024-11-11 20:21:39"
71,10,like,65,"2024-11-11 20:46:43","2024-11-11 20:46:43"
74,10,like,66,"2024-11-11 20:59:53","2024-11-11 20:59:53"
83,26,like,55,"2024-11-11 21:08:41","2024-11-11 21:08:41"
84,26,comment,55,"2024-11-11 21:11:19","2024-11-11 21:11:19"
87,26,like,54,"2024-11-11 21:11:40","2024-11-11 21:11:40"
88,26,comment,54,"2024-11-11 21:12:06","2024-11-11 21:12:06"
91,26,like,66,"2024-11-11 21:13:08","2024-11-11 21:13:08"
93,26,like,64,"2024-11-11 21:13:45","2024-11-11 21:13:45"
98,26,like,60,"2024-11-11 21:15:22","2024-11-11 21:15:22"
100,26,like,59,"2024-11-11 21:15:53","2024-11-11 21:15:53"
112,1,like,66,"2024-11-12 06:53:02","2024-11-12 06:53:02"
113,1,like,65,"2024-11-12 06:53:06","2024-11-12 06:53:06"
148,42,like,3,"2024-11-12 12:56:20","2024-11-12 12:56:20"
150,42,like,1,"2024-11-12 12:56:25","2024-11-12 12:56:25"
160,85,like,66,"2024-11-12 13:14:03","2024-11-12 13:14:03"
200,4,like,66,"2024-11-12 15:07:27","2024-11-12 15:07:27"
202,28,like,51,"2024-11-12 15:13:19","2024-11-12 15:13:19"
203,28,comment,51,"2024-11-12 15:13:54","2024-11-12 15:13:54"
207,28,like,47,"2024-11-12 15:16:13","2024-11-12 15:16:13"
211,28,like,30,"2024-11-12 15:17:01","2024-11-12 15:17:01"
214,4,comment,65,"2024-11-12 15:17:12","2024-11-12 15:17:12"
215,28,like,11,"2024-11-12 15:17:16","2024-11-12 15:17:16"
223,4,like,64,"2024-11-12 15:17:37","2024-11-12 15:17:37"
251,28,like,64,"2024-11-12 15:21:04","2024-11-12 15:21:04"
252,28,like,51,"2024-11-12 15:21:16","2024-11-12 15:21:16"
253,28,like,1,"2024-11-12 15:21:25","2024-11-12 15:21:25"
254,28,like,5,"2024-11-12 15:21:34","2024-11-12 15:21:34"
259,28,like,65,"2024-11-12 15:22:08","2024-11-12 15:22:08"
262,28,like,69,"2024-11-12 15:39:03","2024-11-12 15:39:03"
309,36,like,66,"2024-11-13 12:34:45","2024-11-13 12:34:45"
314,36,like,64,"2024-11-13 12:35:16","2024-11-13 12:35:16"
315,36,comment,64,"2024-11-13 12:36:11","2024-11-13 12:36:11"
341,34,like,73,"2024-11-13 13:02:06","2024-11-13 13:02:06"
350,16,comment,66,"2024-11-13 13:53:42","2024-11-13 13:53:42"
351,16,comment,66,"2024-11-13 13:54:17","2024-11-13 13:54:17"
360,12,like,73,"2024-11-13 13:55:58","2024-11-13 13:55:58"
361,15,like,64,"2024-11-13 13:56:00","2024-11-13 13:56:00"
362,10,comment,65,"2024-11-13 13:57:20","2024-11-13 13:57:20"
364,15,like,64,"2024-11-13 13:59:03","2024-11-13 13:59:03"
365,15,comment,64,"2024-11-13 13:59:28","2024-11-13 13:59:28"
383,15,comment,15,"2024-11-13 14:04:55","2024-11-13 14:04:55"
385,15,comment,15,"2024-11-13 14:05:14","2024-11-13 14:05:14"
393,15,like,74,"2024-11-13 14:22:25","2024-11-13 14:22:25"
448,13,view,37,"2024-11-13 14:55:53","2024-11-13 14:55:53"
450,13,view,37,"2024-11-13 14:55:56","2024-11-13 14:55:56"
452,13,view,37,"2024-11-13 14:55:59","2024-11-13 14:55:59"
453,13,view,37,"2024-11-13 14:56:10","2024-11-13 14:56:10"
455,13,view,37,"2024-11-13 14:56:21","2024-11-13 14:56:21"
457,13,view,37,"2024-11-13 14:56:23","2024-11-13 14:56:23"
459,13,view,37,"2024-11-13 14:57:31","2024-11-13 14:57:31"
461,13,view,37,"2024-11-13 14:57:39","2024-11-13 14:57:39"
463,13,view,37,"2024-11-13 14:57:44","2024-11-13 14:57:44"
465,13,view,37,"2024-11-13 14:57:47","2024-11-13 14:57:47"
466,69,like,62,"2024-11-13 14:57:55","2024-11-13 14:57:55"
469,69,like,28,"2024-11-13 14:58:13","2024-11-13 14:58:13"
473,69,like,75,"2024-11-13 14:58:51","2024-11-13 14:58:51"
476,13,comment,76,"2024-11-13 14:59:18","2024-11-13 14:59:18"
478,13,view,37,"2024-11-13 15:00:48","2024-11-13 15:00:48"
498,15,like,78,"2024-11-13 15:06:11","2024-11-13 15:06:11"
502,13,comment,78,"2024-11-13 15:07:09","2024-11-13 15:07:09"
513,1,like,71,"2024-11-13 15:32:24","2024-11-13 15:32:24"
514,1,like,66,"2024-11-13 15:32:33","2024-11-13 15:32:33"
515,1,like,65,"2024-11-13 15:32:36","2024-11-13 15:32:36"
560,19,like,27,"2024-11-13 16:32:19","2024-11-13 16:32:19"
561,19,like,26,"2024-11-13 16:32:27","2024-11-13 16:32:27"
568,4,view,3,"2024-11-13 16:53:33","2024-11-13 16:53:33"
578,4,like,71,"2024-11-13 17:05:05","2024-11-13 17:05:05"
579,4,view,3,"2024-11-13 17:07:59","2024-11-13 17:07:59"
580,4,view,3,"2024-11-13 17:08:03","2024-11-13 17:08:03"
598,1,like,77,"2024-11-13 17:40:34","2024-11-13 17:40:34"
599,1,like,76,"2024-11-13 17:40:43","2024-11-13 17:40:43"
621,28,like,64,"2024-11-13 17:45:54","2024-11-13 17:45:54"
638,23,comment,47,"2024-11-13 17:46:41","2024-11-13 17:46:41"
661,1,like,76,"2024-11-13 17:51:29","2024-11-13 17:51:29"
662,1,like,77,"2024-11-13 17:51:31","2024-11-13 17:51:31"
683,10,view,78,"2024-11-13 18:03:50","2024-11-13 18:03:50"
692,1,like,76,"2024-11-13 19:36:08","2024-11-13 19:36:08"
693,1,like,77,"2024-11-13 19:36:10","2024-11-13 19:36:10"
706,1,like,76,"2024-11-13 23:13:15","2024-11-13 23:13:15"
707,1,like,77,"2024-11-13 23:13:19","2024-11-13 23:13:19"
